scale,n_items,advi_final_loss,baseline_post_std_eap_sd,pairwise_khat,pairwise_ess,mixed_khat,mixed_ess
BM,54,260557.17926137865,0.9839451053192007,35.62344485817594,1.0,35.62344485817594,1.000005614235253
UBF,43,180079.96816727569,0.9725006360624987,7.580746052536964,1.000000000002145,7.580746052536964,1.0000046312530853
FMF,49,147554.1366207128,0.9786989815052993,9.297337219031304,1.0,9.297337219031304,1.0404537565694592
CM,20,67656.93691140773,0.7746426556228228,11.172780150060229,1.0,11.172780150060229,1.224778388983665
ME,27,192301.98702566212,0.9484448936675841,11.90500671741243,1.0,11.90500671741243,1.0000178534311053
RS,32,246056.4476292458,0.9637203946742845,10.628334376215332,1.0000003715881798,10.628334376215332,1.166800135047443
SR,36,293583.83957159286,0.9404684118005401,27.478128097408614,1.0379120475142805,27.478128097408614,1.0000008865686845
CC,98,inf,0.9893059206800205,11.572570942972366,1.0298113290816782,11.572570942972366,1.0015655565985642
